@1200	5A		
SIM_3_6	AZP	00:38.8	
SIM_3_6	AZP-SA	06:33.8	
SIM_3_7	ARISEL	10:11.6	
SIM_3_7	AZP-TABU	13:42.0	
SIM_3_7	AZP	00:29.7	
SIM_3_7	AZP-SA	08:00.3	
SIM_3_8	ARISEL	11:04.7	
SIM_3_8	AZP-TABU	12:54.8	
SIM_3_8	AZP	00:27.9	
SIM_3_8	AZP-SA	05:28.2	
SIM_3_9	ARISEL	13:17.4	
SIM_3_9	AZP-TABU	20:35.0	
SIM_3_9	AZP	00:57.1	
SIM_3_9	AZP-SA	04:54.2	
SIM_4_0	ARISEL	09:18.7	
SIM_4_0	AZP-TABU	07:33.8	
SIM_4_0	AZP	01:29.2	
SIM_4_0	AZP-SA	05:26.2	
SIM_4_1	ARISEL	10:10.7	
SIM_4_1	AZP-TABU	16:54.7	
SIM_4_1	AZP	00:23.4	
SIM_4_1	AZP-SA	06:17.0	
SIM_4_2	ARISEL	08:50.9	
SIM_4_2	AZP-TABU	11:50.4	
SIM_4_2	AZP	00:29.6	
SIM_4_2	AZP-SA	07:50.6	
SIM_4_3	ARISEL	09:33.0	
SIM_4_3	AZP-TABU	20:58.6	
SIM_4_3	AZP	02:17.2	
SIM_4_3	AZP-SA	05:28.2	
SIM_4_4	ARISEL	10:48.7	
SIM_4_4	AZP-TABU	09:03.2	
SIM_4_4	AZP	01:03.7	
SIM_4_4	AZP-SA	05:08.2	
SIM_4_5	ARISEL	09:15.2	
SIM_4_5	AZP-TABU	30:38.1	
SIM_4_5	AZP	00:44.4	
SIM_4_5	AZP-SA	04:11.4	
SIM_4_6	ARISEL	08:55.0	
SIM_4_6	AZP-TABU	24:51.9	
SIM_4_6	AZP	00:24.1	
SIM_4_6	AZP-SA	04:33.4	
SIM_4_7	ARISEL	08:54.9	
SIM_4_7	AZP-TABU	17:50.6	
SIM_4_7	AZP	00:29.5	
SIM_4_7	AZP-SA	04:29.4	
SIM_4_8	ARISEL	09:01.6	
SIM_4_8	AZP-TABU	24:47.6	
SIM_4_8	AZP	00:26.1	
SIM_4_8	AZP-SA	05:28.1	
SIM_4_9	ARISEL	09:02.0	
SIM_4_9	AZP-TABU	19:06.1	
SIM_4_9	AZP	00:45.7	
SIM_4_9	AZP-SA	04:55.9	
SIM_2_0	geoSOM	00:40.2	
SIM_2_1	geoSOM	00:41.0	
SIM_2_2	geoSOM	00:39.9	
SIM_2_3	geoSOM	00:39.8	
SIM_2_4	geoSOM	00:40.5	
SIM_2_5	geoSOM	00:40.2	
SIM_2_6	geoSOM	00:40.4	
SIM_2_7	geoSOM	00:40.2	
SIM_2_8	geoSOM	00:39.6	
SIM_2_9	geoSOM	00:39.7	
SIM_3_0	geoSOM	00:39.6	
SIM_3_1	geoSOM	00:40.2	
SIM_3_2	geoSOM	00:40.2	
SIM_3_3	geoSOM	00:39.9	
SIM_3_4	geoSOM	00:39.7	
SIM_3_5	geoSOM	00:39.7	
SIM_3_6	geoSOM	00:40.4	
SIM_3_7	geoSOM	00:39.9	
SIM_3_8	geoSOM	00:39.5	
SIM_3_9	geoSOM	00:39.5	
SIM_4_0	geoSOM	00:39.6	
SIM_4_1	geoSOM	00:39.7	
SIM_4_2	geoSOM	00:39.9	
SIM_4_3	geoSOM	00:39.6	
SIM_4_4	geoSOM	00:39.9	
SIM_4_5	geoSOM	00:39.6	
SIM_4_6	geoSOM	00:39.6	
SIM_4_7	geoSOM	00:39.6	
SIM_4_8	geoSOM	00:39.5	
SIM_4_9	geoSOM	00:39.7	
			
@1200 10B			
SIM_2_60	ARISEL	07:27.0	
SIM_2_60	AZP-TABU	08:39.6	
SIM_2_60	AZP	00:54.5	
SIM_2_60	AZP-SA	04:51.3	
SIM_2_61	ARISEL	16:12.5	
SIM_2_61	AZP-TABU	15:03.9	
SIM_2_61	AZP	00:43.2	
SIM_2_61	AZP-SA	05:38.4	
SIM_2_62	ARISEL	13:28.8	
SIM_2_62	AZP-TABU	09:56.1	
SIM_2_62	AZP	00:28.0	
SIM_2_62	AZP-SA	04:15.2	
SIM_2_63	ARISEL	11:37.8	
SIM_2_63	AZP-TABU	15:35.0	
SIM_2_63	AZP	01:12.7	
SIM_2_63	AZP-SA	04:40.4	
SIM_2_64	ARISEL	11:29.7	
SIM_2_64	AZP-TABU	32:00.9	
SIM_2_64	AZP	01:41.0	
SIM_2_64	AZP-SA	04:36.2	
SIM_2_65	ARISEL	08:55.3	
SIM_2_65	AZP-TABU	13:33.6	
SIM_2_65	AZP	00:19.4	
SIM_2_65	AZP-SA	04:57.3	
SIM_2_66	ARISEL	09:45.8	
