Size k nRow nCol ClusType MeanSep SimNum SSE SSR RSQ FSTAT Calinski-Harabasz Fowlkes-Mallows Mutual-Information Homogeneity Completeness V-measure Adjusted-Rand Adjusted-Mutual-Info
120 5 5 1 A 2 6 730.4920956717568 1142.1921273206488 0.3604472678468348 16.20329087752958 16.20329087752958 0.23965032573540426 0.2411640522225786 0.14984365060584673 0.15512266458182494 0.15243746732056512 0.0454591607316401 0.11002161534979747
120 5 1 5 A 2 7 144.98535641003468 1146.8077024987065 0.8735748320366742 198.6572517612947 198.6572517612948 0.7871016494456452 1.2531581092912023 0.7786309118292962 0.8575569652090337 0.816190330140958 0.7228767685688953 0.7680897244477519
120 5 5 1 A 2 7 745.3034527315777 1146.8077024987067 0.3501059932648837 15.487982966533062 15.48798296653305 0.23353988156202937 0.20236620636769007 0.12573719359054564 0.13097248906114628 0.1283014574441369 0.03569807895931023 0.08465795151916042
120 5 1 5 A 2 8 105.05425782995609 1118.7500420472895 0.9060967563069683 277.41620756981854 277.4162075698186 0.9354592520219533 1.4959623267581321 0.9294936543999088 0.9321688354771878 0.9308293228410051 0.9198936478268881 0.926243343643899
120 5 5 1 A 2 8 735.3037890611877 1118.7500420472898 0.3427452411839943 14.992551292882126 14.992551292882123 0.23280388073525304 0.19461594600844995 0.12092168607741721 0.12661569975853085 0.1237032042409986 0.03324147371966929 0.0794962579812893
120 5 1 5 A 2 9 109.2670907579327 1075.625197457563 0.8984152741901125 254.2649884324606 254.26498843246048 0.8494704693744266 1.4010587137890118 0.8705267242462698 0.8903333090716238 0.8803186220009329 0.8111804892382282 0.8645025123300065
120 5 5 1 A 2 9 718.4437439383333 1075.625197457563 0.33206869303870284 14.29334847066227 14.293348470662266 0.23392918143269287 0.20724226198376874 0.1287668572876709 0.1343369325865632 0.1314929339110327 0.035138598260657336 0.08785825201106548
120 5 1 5 A 2 10 90.09972576617501 1066.9598861090883 0.9155547205296123 311.7071597170415 311.7071597170415 0.6564787319704598 1.031565346996135 0.640947587369807 0.6913221637846433 0.6651825166623825 0.5622317596566524 0.6238188643687071
120 5 5 1 A 2 10 684.8463432371082 1066.959886109088 0.3581329981068397 16.04121050810068 16.041210508100683 0.24202807815328128 0.25329187560262634 0.1573790909520392 0.16426626811471806 0.1607489442719594 0.045952371532261276 0.11772507541266437
120 5 1 5 A 2 11 297.93962298377045 1074.2379712506995 0.7226502591070307 74.90973268060408 74.90973268060411 0.5958113236542004 0.9067451297294788 0.5633924258427125 0.7053892750256578 0.6264449976668872 0.4440734861062301 0.5420939250923661
120 5 5 1 A 2 11 748.4576206519877 1074.2379712506995 0.30326646359318005 12.513981849171373 12.513981849171367 0.2329163041708516 0.22095963198936353 0.13728993848242713 0.14231533278719424 0.13975747449066683 0.03718189668309037 0.09678679064539988
120 5 1 5 A 2 12 87.8945091422664 1048.502129917428 0.9161713585177091 314.21154025200985 314.21154025200997 0.582231015733282 0.9170672411920449 0.569805914292823 0.6605161489771941 0.6118170508505691 0.45683270806114123 0.5512968016330804
120 5 5 1 A 2 12 702.6042961670619 1048.5021299174282 0.32989712074081007 14.153859824902726 14.153859824902717 0.24517672612705155 0.2465781420647917 0.15320761376365805 0.15909049335538308 0.15609364452644955 0.051024349740979406 0.11351660947527656
120 5 1 5 A 2 13 111.40409052324206 1125.6129711804283 0.9010280679278129 261.73639748722513 261.7363974872253 0.9497303050778124 1.5156918508304145 0.9417522969482527 0.9427702725138053 0.9422610097875846 0.9376575897484217 0.9390692851739031
