SIM_3_64,AZP-SA,00:05.4
SIM_3_65,ARISEL,00:03.8
SIM_3_65,AZP-TABU,00:01.9
SIM_3_65,AZP,00:01.1
SIM_3_65,AZP-SA,00:04.3
SIM_3_66,ARISEL,00:03.8
SIM_3_66,AZP-TABU,00:01.8
SIM_3_66,AZP,00:00.7
SIM_3_66,AZP-SA,00:10.9
SIM_3_67,ARISEL,00:04.6
SIM_3_67,AZP-TABU,00:02.2
SIM_3_67,AZP,00:00.7
SIM_3_67,AZP-SA,00:03.1
SIM_3_68,ARISEL,00:04.1
SIM_3_68,AZP-TABU,00:03.7
SIM_3_68,AZP,00:00.8
SIM_3_68,AZP-SA,00:02.7
SIM_3_69,ARISEL,00:05.2
SIM_3_69,AZP-TABU,00:03.2
SIM_3_69,AZP,00:00.8
SIM_3_69,AZP-SA,00:03.1
SIM_4_60,ARISEL,00:04.1
SIM_4_60,AZP-TABU,00:03.0
SIM_4_60,AZP,00:00.9
SIM_4_60,AZP-SA,00:05.1
SIM_4_61,ARISEL,00:04.3
SIM_4_61,AZP-TABU,00:01.5
SIM_4_61,AZP,00:00.8
SIM_4_61,AZP-SA,00:02.9
SIM_4_62,ARISEL,00:03.7
SIM_4_62,AZP-TABU,00:01.4
SIM_4_62,AZP,00:01.3
SIM_4_62,AZP-SA,00:03.0
SIM_4_63,ARISEL,00:03.8
SIM_4_63,AZP-TABU,00:03.5
SIM_4_63,AZP,00:00.8
SIM_4_63,AZP-SA,00:02.5
SIM_4_64,ARISEL,00:03.7
SIM_4_64,AZP-TABU,00:01.3
SIM_4_64,AZP,00:00.7
SIM_4_64,AZP-SA,00:03.1
SIM_4_65,ARISEL,00:03.7
SIM_4_65,AZP-TABU,00:02.3
SIM_4_65,AZP,00:00.7
SIM_4_65,AZP-SA,00:03.1
SIM_4_66,ARISEL,00:04.0
SIM_4_66,AZP-TABU,00:01.9
SIM_4_66,AZP,00:00.8
SIM_4_66,AZP-SA,00:02.8
SIM_4_67,ARISEL,00:03.7
SIM_4_67,AZP-TABU,00:02.2
SIM_4_67,AZP,00:00.7
SIM_4_67,AZP-SA,00:03.4
SIM_4_68,ARISEL,00:03.7
SIM_4_68,AZP-TABU,00:01.9
SIM_4_68,AZP,00:00.7
SIM_4_68,AZP-SA,00:02.8
SIM_4_69,ARISEL,00:03.8
SIM_4_69,AZP-TABU,00:02.0
SIM_4_69,AZP,00:00.7
SIM_4_69,AZP-SA,00:02.6
SIM_2_0,geoSOM,0:00:04
SIM_2_1,geoSOM,00:03.9
SIM_2_2,geoSOM,00:04.0
SIM_2_3,geoSOM,00:03.9
SIM_2_4,geoSOM,00:04.1
SIM_2_5,geoSOM,00:04.0
SIM_2_6,geoSOM,00:04.0
SIM_2_7,geoSOM,00:04.0
SIM_2_8,geoSOM,00:04.0
SIM_2_9,geoSOM,00:03.9
SIM_3_0,geoSOM,00:04.0
SIM_3_1,geoSOM,00:03.9
SIM_3_2,geoSOM,00:04.0
SIM_3_3,geoSOM,00:03.9
SIM_3_4,geoSOM,00:04.0
SIM_3_5,geoSOM,00:03.9
SIM_3_6,geoSOM,00:03.9
SIM_3_7,geoSOM,00:03.9
SIM_3_8,geoSOM,00:03.9
SIM_3_9,geoSOM,00:03.9
SIM_4_0,geoSOM,00:03.9
SIM_4_1,geoSOM,00:03.9
SIM_4_2,geoSOM,00:03.8
SIM_4_3,geoSOM,00:04.0
SIM_4_4,geoSOM,00:04.0
SIM_4_5,geoSOM,00:04.0
SIM_4_6,geoSOM,00:03.9
SIM_4_7,geoSOM,00:04.0
SIM_4_8,geoSOM,00:03.9
SIM_4_9,geoSOM,00:03.9
