Size,k,ClusType,SSE,SSR,RSQ,FSTAT,Calinski-Harabasz,Fowlkes-Mallows,Mutual-Information,Homogeneity,Completeness,V-measure,Adjusted-Rand,Adjusted-Mutual-Info
900,5,75,70743.47808,409787.1291,0.8273653,1072.339373,1072.339373,13.3065416,0.895711908,0.911551321,0.932055962,0.921689615,0.944817422,0.91068983
900,5,76,53132.63762,419996.6012,0.873492696,1544.922585,1544.922585,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,77,58181.83812,432090.3514,0.865347981,1437.940645,1437.940645,12.78648439,0.936548428,0.953109978,0.949799954,0.951452087,0.971644822,0.949315432
900,5,78,52021.59439,423301.4516,0.877105089,1596.911225,1596.911225,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,79,52932.35309,427005.3212,0.876038189,1581.241372,1581.241372,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,80,76567.24445,448168.8638,0.829155368,1085.919481,1085.919481,nan,0.913466069,0.929619439,0.942092284,0.935814303,0.955099332,0.928935022
900,5,81,57373.45178,416948.3237,0.862396732,1402.301502,1402.301502,nan,0.955729393,0.972630131,0.959036179,0.965785322,0.978632424,0.958645566
900,5,82,54728.77293,427850.2858,0.87208429,1525.448755,1525.448755,45.92114852,0.953136401,0.969991286,0.961142731,0.965546736,0.978529932,0.960770181
900,5,83,71488.19138,423004.2569,0.830998884,1100.205756,1100.205756,13.03127374,0.89936908,0.915273165,0.936826226,0.925924288,0.94511984,0.914447414
900,5,84,69150.44992,400474.9267,0.827328891,1072.066079,1072.066079,10.63361384,0.894883252,0.910708011,0.935334467,0.922856979,0.941810399,0.909837099
900,5,85,67399.36473,412060.2473,0.836433228,1144.192869,1144.192869,20.08825159,0.898527438,0.914416639,0.930997982,0.922632817,0.947892589,0.913584153
900,5,86,59909.06612,412366.5946,0.854718915,1316.367907,1316.367907,nan,0.918420466,0.934661448,0.944148211,0.939380878,0.95844289,0.934026507
900,5,87,95765.08056,413805.3784,0.768574587,743.0841828,743.0841828,8.114087297,0.833375678,0.848112762,0.693514424,0.763061833,0.661208191,0.69112065
900,5,88,74179.9144,439645.4475,0.831273325,1102.359226,1102.359226,nan,0.882439006,0.898043706,0.950540448,0.923546667,0.934811431,0.897047383
900,5,89,72487.79319,448804.2143,0.838486826,1161.58591,1161.58591,nan,0.913466069,0.929619439,0.942092284,0.935814303,0.955099332,0.928935022
900,5,90,64813.84989,420306.0112,0.845793664,1227.227996,1227.227996,10.7835623,0.89112493,0.906883228,0.930413026,0.918497457,0.941493073,0.905975587
900,5,91,73010.54772,414616.0464,0.823908051,1046.892986,1046.892986,10.63361384,0.894883252,0.910708011,0.935334467,0.922856979,0.941810399,0.909837099
900,5,92,49643.89138,402644.6807,0.876705458,1591.00998,1591.00998,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,93,54279.4374,410034.943,0.86762241,1466.490778,1466.490778,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,94,69857.09793,414321.8699,0.831394133,1103.309399,1103.309399,10.36828613,0.795000676,0.809059151,0.840028634,0.824253093,0.86302062,0.807305474
900,5,95,48687.41968,403411.2708,0.87931071,1630.184188,1630.184188,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,96,79737.36568,440004.3029,0.818780487,1010.940436,1010.940436,18.9234193,0.900342318,0.916263613,0.93401559,0.925054444,0.948189757,0.915448532
900,5,97,83768.56799,459673.013,0.817764877,1004.059417,1004.059417,11.24876107,0.861779395,0.877018759,0.920875165,0.898412062,0.914452794,0.875816379
900,5,98,54895.29428,411226.2398,0.866508289,1452.384036,1452.384036,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,99,68026.17967,406720.3074,0.832744571,1114.02421,1114.02421,10.63361384,0.894883252,0.910708011,0.935334467,0.922856979,0.941810399,0.909837099
